rto_code,rto_name
CH01,"RLA,CHANDIGARH"
CG04,"RTO,RAIPUR"
CG05,"DTO,DHAMTARI"
CG06,"DTO,MAHASAMUND"
CG07,"ADDL.RTO,DURG"
CG08,"ADDL.RTO,RAJNANDGAON"
CG09,"DTO,KABIRDHAM"
CG10,"RTO,BILASHPUR"
CG11,"DTO,JANGIR_CHAMPA"
CG12,"ADDL.RTO,KORBA"
CG13,"ADDL.RTO,RAIGARH"
CG14,"DTO,JASHPUR"
CG15,"ADDL.RTO,AMBIKAPUR"
CG16,"DTO,BAIKUNTHPUR"
CG17,"RTO,JAGDALPUR"
CG18,"DTO,DANTEWADA"
CG19,"DTO,KANKER"
CG22,"DTO,BALODABAZAR"
CG23,"DTO,GARIYABAND"
CG24,"DTO,BALOD"
CG25,"DTO,BEMETARA"
CG26,"DTO,SUKMA"
CG27,"DTO,KONDAGAON"
CG28,"DTO,MUNGELI"
CG29,"DTO,SURAJPUR"
CG30,"DTO,BALRAMPUR"
DN09,"RLA, SILVASSA, DNH UT"
DD02,"RTO,DIU"
DD03,"RTO,DAMAN"
KA01,"RTO,KORAMANGALA"
KA02,"RTO,BANGALORE (WEST)"
KA03,"RTO,BANGALORE (EAST)"
KA04,"RTO,BANGALORE (NORTH)"
KA05,"RTO,BANGALORE (SOUTH)"
KA06,"RTO,TUMKUR"
KA07,"RTO,KOLAR"
KA08,"RTO,CORMONDAL"
KA09,"RTO,MYSORE"
KA10,"RTO,CHAMARAJ NAGAR"
KA11,"RTO,MANDYA"
KA12,"RTO,MADEIKERI"
KA13,"RTO,HASSAN"
KA14,"RTO,SHIMOGA"
KA15,"ASST.RTO,SAGAR"
KA16,"RTO,CHITRADURGA"
KA17,"RTO,DAVANAGERE"
KA18,"RTO,CHICKMAGALUR"
KA19,"RTO,MANGALORE."
KA20,"RTO,UDUPI"
KA21,"RTO,PUTTUR"
KA22,"RTO,BELGAUM"
KA23,"RTO,CHIKKODI"
KA24,"ASST.RTO,BAILAHONGALA"
KA25,"RTO,DHARWAD"
KA26,"RTO,GADAG"
KA27,"RTO,HAVERI"
KA28,"RTO,BIJAPUR"
KA29,"RTO,BAGALKOT"
KA30,"RTO,KARWAR"
KA31,"RTO,SIRSI"
KA32,"RTO,GULBARGA"
KA33,"RTO,YADAGIRI"
KA34,"RTO,BELLARY"
KA35,"RTO,HOSPET"
KA36,"RTO,RAICHUR"
KA37,"RTO,KOPPAL"
KA38,"RTO,BIDAR"
KA39,"ASST.RTO,BHALKI"
KA40,"RTO,CHIKKABALLAPURA"
KA41,"RTO,BANGALORE"
KA42,"RTO,RAMANAGARA"
KA43,"ASST.RTO,DEVENAHALLI"
KA44,"ASST.RTO,TIPTUR"
KA45,"ASST.RTO,HUNSUR"
KA46,"ASST.RTO,SAKALESHPURA"
KA47,"ASST.RTO,HONNAVARA"
KA48,"ASST.RTO,JAMAKHANDI"
KA49,"ASST.RTO,GOKAK"
KA50,"RTO,YELAHANKA"
KA51,"RTO,CHENNAKESHAVANAGAR"
KA52,"RTO,NELAMANGALA"
KA53,"RTO, K.R.PURAM"
KA54,"ASST.RTO,NAGAMANGALA"
